task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2860	5c/e1a289	4359090	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.056)	CACHED	0	2026-08-01 18:53:21.142	32m	5m 24s	173.6%	420.2 MB	653.8 MB	106.7 GB	144.6 MB
2862	75/898ef5	4359101	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.058)	CACHED	0	2026-08-01 18:55:21.148	33m	6m 28s	175.1%	443 MB	695.6 MB	122.2 GB	169.7 MB
2861	97/1e2698	4359107	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.057)	CACHED	0	2026-08-01 18:56:26.147	29m 55s	4m 29s	172.4%	436.1 MB	624.9 MB	79.3 GB	122.2 MB
2863	b5/64f7e9	4359092	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.059)	CACHED	0	2026-08-01 18:53:26.142	29m 55s	3m 5s	179.2%	424.8 MB	622.9 MB	64.6 GB	96.1 MB
2864	7f/f0bb88	4359102	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.060)	CACHED	0	2026-08-01 18:55:26.146	28m 35s	2m 3s	175.1%	417.2 MB	3 GB	37.5 GB	69.9 MB
2865	0e/106739	4359100	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.061)	CACHED	0	2026-08-01 18:55:06.140	27m 55s	1m 1s	173.2%	306.2 MB	629.8 MB	10.7 GB	43.2 MB
2866	ca/aad0c6	4359091	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.062)	CACHED	0	2026-08-01 18:53:21.156	28m 55s	2m 5s	173.5%	385.8 MB	621.2 MB	39.8 GB	74.6 MB
2867	60/6d3b29	4359114	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.063)	CACHED	0	2026-08-01 18:57:11.141	26m 10s	20.5s	144.9%	355.2 MB	572 MB	7.6 GB	25.5 MB
2868	01/067d9a	4359105	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.064)	CACHED	0	2026-08-01 18:56:11.141	25m 50s	22.6s	155.3%	136.6 MB	238.9 MB	5.7 GB	24.9 MB
2869	ea/bc47dc	4359108	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.065)	CACHED	0	2026-08-01 18:56:26.163	27m 55s	1m 46s	171.3%	401.6 MB	3 GB	34.1 GB	65.4 MB
2870	91/6ba264	4359118	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.066)	CACHED	0	2026-08-01 18:57:31.146	27m 10s	1m 20s	172.0%	349.3 MB	601.8 MB	26.1 GB	53.5 MB
2871	39/b7b11b	4359113	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.067)	CACHED	0	2026-08-01 18:57:01.298	28m 40s	2m 17s	177.2%	407.3 MB	651.7 MB	51.6 GB	82.7 MB
2872	59/cc78a7	4359125	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.068)	CACHED	0	2026-08-01 18:59:26.154	27m 30s	3m 4s	178.7%	388.4 MB	643.2 MB	67.3 GB	101.4 MB
2874	ee/c2d861	4359131	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.070)	CACHED	0	2026-08-01 19:00:11.150	24m 20s	32.7s	163.4%	318 MB	583.3 MB	7.9 GB	32.1 MB
2873	82/befd08	4359121	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.069)	CACHED	0	2026-08-01 18:58:11.143	28m 15s	3m 9s	169.8%	396.3 MB	3 GB	64.9 GB	93.6 MB
2876	57/39b308	4359136	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.072)	CACHED	0	2026-08-01 19:02:11.159	29m 50s	7m 22s	180.6%	502.2 MB	683.7 MB	225.2 GB	219.8 MB
2875	f7/0572af	4359128	NFCORE_MAG:MAG:PROKKA (SPAdes-MaxBin2-zymo_fecal.071)	CACHED	0	2026-08-01 18:59:31.148	26m 50s	2m 37s	168.2%	400.4 MB	600.5 MB	46.1 GB	84.3 MB
